index,predictions
3515,"['|', ['&', 'MUHL 184', 'MUHL 185', ['|', 'MUTH 211', 'MUCO 240D1/D2'], 'MUSP 231'], ['&', 'MUHL 186', 'MUHL 286', ['|', 'MUTH 250', 'MUCO 240D1/D2'], 'MUSP 241']]"
74,"['|', 'HISP 218', ['|', 'MATH 203', 'AEMA 310']]"
2458,"['|', ['&', 'ENVR 201', ['|', 'GEOG 203', 'ENVR 200', 'ESYS 200']]]"
126,"['|', 'ANTH 201', 'ANTH 202', 'HISP 225']"
1203,'COMP 251'
914,'CHEE 400'
2457,'GEOG 202'
4339,'EPIB 601'
320,'BIEN 590'
186,'ARCH 201'
236,'ARCH 722'
1916,'EDKP 223'
648,'CCFA 527'
110,"['&', 'LSCI 202', 'LSCI 230']"
3283,'MECH 610'
4640,'SOCI 652'
4014,'NUTR 656'
2851,'INFS 680'
3276,"['&', 'MECH 240', ['|', 'MECH 309', 'MATH 317'], 'MECH 331', 'MECH 341', 'MECH 346']"
242,"['&', 'ARTH 606', 'ARTH 607']"
2184,'ENVR 301'
4237,'PHYS 692D1'
1483,'EAST 230'
394,"['&', 'BIOL 219', ['|', ['&', 'BIOL 200', ['|', 'BIOL 201', 'ANAT 212', 'BIOC 212']], 'CHEM 212', ['|', 'COMP 202', 'COMP 204', 'COMP 250'], 'MATH 222']]"
151,"['|', 'ANTH 338', 'ANTH 336']"
469,"['&', ['|', 'CHEM 211', 'CHEM 212'], 'MATH 222', 'PHYS 230']"
3080,'LSCI 401'
141,"['|', 'ANTH 357', 'ANTH 359']"
1791,'EDEC 245'
139,"['|', 'ANTH 201', 'ANTH 210']"
63,"['&', 'AEMA 310', ['|', 'AGEC 200', 'AGEC 201']]"
3473,'MGCR 352'
143,"['|', 'ANTH 352', 'ANTH 355']"
1902,"['&', ['|', 'EDIN 601', 'EDIN 601D1/D2'], 'EDTL 604', 'EDEM 690']"
686,"['&', 'CCPA 601', 'CCPA 602', 'CCPA 631', ['|', 'CCPA 621', 'CCPA 622', 'CCPA 623', 'CCPA 624']]"
138,"['|', 'ANTH 201', 'ANTH 203', 'ANTH 210']"
2517,'GEOG 699N1'
3345,"['|', 'MIME 209', 'MECH 262', 'CIVE 302', 'CHEE 231', 'ECSE 205']"
2346,"['|', ['&', 'FDSC 211', 'FDSC 230', 'FDSC 233'], ['&', 'LSCI 211', 'FDSC 230', 'FDSC 233']]"
82,'PHGY 210'
358,'MATH 222'
468,"['&', 'CHEE 380', 'CHEM 212', 'BIOL 201']"
2028,'EDPE 721D1'
1284,"['|', 'COMS 210', 'COMS 200', 'COMS 230']"
1148,'CMRK 200'
3946,'NUR2 620'
4532,'RELG 357'
3575,'MUHL 286'
153,"['|', ['&', 'ANTH 204', 'ANTH 314'], ['&', 'ANTH 204', 'ANTH 352'], ['&', 'ANTH 204', 'ANTH 355'], ['&', 'ANTH 204', 'ANTH 430'], ['&', 'ANTH 314', 'ANTH 352'], ['&', 'ANTH 314', 'ANTH 355'], ['&', 'ANTH 314', 'ANTH 430'], ['&', 'ANTH 352', 'ANTH 355'], ['&', 'ANTH 352', 'ANTH 430'], ['&', 'ANTH 355', 'ANTH 430']]"
1697,'ECSE 496'
4326,'POTH 663'
3077,'LLCU 602'
3337,'LSCI 230'
945,'CHEE 314'
1256,"['&', ['|', 'COMP 451', 'COMP 551'], 'MATH 222', 'MATH 223', 'MATH 323']"
3591,'MUIN 180'
98,"['&', 'ANAT 695', 'ANAT 696']"
1452,'DENT 581J2'
262,"['|', 'MATH 314', 'MATH 315']"
1901,"['|', 'EDTL 626', 'EDTL 628', 'EDTL 630', 'EDTL 612', 'EDTL 634', 'EDTL 636']"
1521,'EAST 440'
2920,'ISLA 210'
3300,'MGCR 650'
4083,'PHAR 301'
2137,'EDFM 460'
3973,'NUTR 431N1'
3246,'MECH 393'
159,"['&', ['|', 'ANTH 209', 'another instructor-approved introduction to the anthropology of religion'], ['|', 'ANTH 352', 'ANTH 355']]"
707,'CCTR 325'
1367,'DENT 206D1'
39,"['&', 'AEBI 421', 'AEBI 423', 'AEBI 425']"
401,"['&', 'NRSC 451', 'BIOL 451', 'ANTH 451', 'GEOG 451']"
1012,'CHEM 381'
4086,'PHAR 563'
10,'ACCT 354'
4647,'SURG 401'
4608,'SOCI 210'
4111,'PHGY 459D1'
3583,"['|', ['&', 'MUHL 184', 'MUHL 185', 'MUTH 211'], ['&', 'MUCO 240D1/D2', 'MUSP 231'], ['&', 'MUHL 286', 'MUTH 250', 'MUSP 241']]"
1752,'ECSE 485'
3355,"['&', 'CHEM 233', 'MIME 212', ['|', 'MIME 200', 'MIME 250'], 'MIME 356']"
1981,'EDPC 609'
1039,'CHLC 351'
2581,"['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
254,"['&', 'ATOC 214', 'MATH 222']"
3794,'NRSC 701D1'
471,"['&', 'MATH 203', 'MATH 223', 'MATH 323']"
75,'BIOL 200'
1784,'EDEA 442'
441,"['&', ['|', 'BIOL 202', 'BIOL 302'], 'BIOL 300', 'BIOL 370']"
2839,'INFS 617'
3660,'MUMT 202'
1402,'DENT 106J1'
3527,"['|', ['&', ['|', 'MUTH 110', 'MUTH 111'], ['|', 'MUSP 129', 'MUSP 131'], ['|', 'MUHL 184', 'MUHL 185']], ['&', 'MUTH 151', ['|', 'MUSP 140', 'MUSP 141'], ['|', 'MUHL 186', 'MUHL 286']]]"
3260,"['|', 'MECH 309', ['&', 'MATH 317', 'MECH 533']]"
935,"['|', ['&', 'CHEE 310', 'CHEE 380'], ['&', 'CHEM 233', 'MIME 261', 'MIME 317']]"
1889,'EDKP 442'
158,"['&', 'ANTH 201', 'ANTH 357']"
152,'ANTH 227'
4022,'NUTR 682D1'
93,"['|', ['&', 'ANAT 212', ['|', 'BIOC 212', 'BIOL 201']], 'ANAT 261', 'ANAT 262']"
3513,'MUCO 341'
1484,'EAST 230'
3402,'MIME 465'
3858,'NUR1 318'
1373,'DENT 220D1'
1680,'ECSE 458D1'
2773,'INDR 294'
2016,'EDPE 683'
4583,'SCSD 611D1'
472,"['&', 'MATH 203', 'MATH 223', 'MATH 323', ['|', 'MATH 222', 'MATH 204']]"
1638,'ECSE 324'
2,"['&', 'ACCT 351', 'MGCR 341']"
2575,"['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
661,"['&', ['|', 'CCFA 627', 'exemption by examination'], ['|', 'CCFA 655', 'exemption by examination']]"
410,"['|', 'BIOL 215', ['&', 'ENVR 200', 'ENVR 202']]"
51,"['|', 'AEMA 102', ['|', 'MATH 141']]"
50,"['|', 'AEPH 112', 'AEPH 113', 'PHYS 101', 'PHYS 131']"
3193,"['|', ['&', 'MATH 456', 'MATH 576'], 'MATH 456']"
3604,'MUIN 251'
243,"['&', 'ARTH 606', 'ARTH 607', '|', 'ARTH 608']"
3732,'MUSR 300D1'
1004,"['|', ['&', 'CHEM 302', ['|', 'BIOL 200', 'CHEM 332']]]"
478,'AEMA 305'
965,'CHEM 212'
3853,'NUR1 332'
4620,'SOCI 210'
123,"['|', 'ANTH 202', 'ANTH 205', 'ANTH 206', 'ANTH 212']"
2392,"['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]"
2321,'FAES 405'
4512,'RELG 265'
37,"['&', 'AEBI 421', 'AEBI 425', 'AEBI 427']"
258,"['&', 'EPSC 373', 'GEOG 373', ['|', 'ATOC 473', 'EPSC 473', 'GEOG 473']]"
850,'CENT 300'
1923,'EDKP 261'
2262,'EPSC 303'
3728,"['|', 'MUSP 324', 'MUSP 330', 'MUSP 335', 'MUSP 346', 'MUSP 350', 'MUSP 353', 'MUSP 354', 'MUSP 355', 'MUSP 381']"
2514,'GEOG 698D1'
2149,'ENGL 275'
475,"['&', 'PHYS 241', ['|', 'ECSE 304', 'ECSE 306'], ['|', 'PHYS 242', 'ECSE 251']]"
128,"['|', 'ANTH 202', 'ANTH 227']"
4646,'SURG 402D1'
3691,'MUPG 607D1'
3289,'MGCR 271'
400,'BIOL 305'
4056,'ORGB 633'
3720,'MUSP 241'
1701,'ECSE 509'
1055,'CIVE 290'
461,"['&', 'MATH 533', 'MATH 523']"
3726,'MUSP 241'
543,'BUSA 647D1'
3491,'MUAR 201'
1952,'EDKP 206'
4039,'OCC1 618'
2587,"['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
3949,'NUR3 668'
3914,'NUR2 653'
145,"['|', 'ANTH 339', 'ANTH 349', 'SOCI 328', 'GEOG 300', 'GEOG 302']"
285,'BASC 201'
3131,"['&', ['|', 'MATH 223', 'MATH 247', 'MATH 236', 'MATH 251'], ['|', 'MATH 248', 'MATH 314', 'MATH 358'], ['|', 'MATH 243', 'MATH 255']]"
736,"['|', ['&', 'CEEN 211', 'CEEN 212'], 'Entrance Placement Test', 'Permission of the Director']"
4236,'PHYS 690N1'
1883,'EDEA 407'
3613,'MUIN 452D1'
4615,'SOCI 210'
2786,'INDS 123D1'
2992,'ITAL 690N1'
260,"['&', 'GEOG 373', 'EPSC 373', 'ATOC 373']"
2332,'FDSC 213'
85,"['&', 'ANAT 261', 'BIOL 202']"
2922,'ISLA 200'
2161,'ENGL 491N1'
3136,"['&', 'COMP 202', ['|', 'MATH 223', 'MATH 236'], 'MATH 314']"
457,"'Permission of instructor' and 'Undergraduate course in mathematical statistics at level of MATH 324' are not valid course codes, so they should be ignored. There is no valid course code in the input, so there is no output."
2090,'EDSP 682D1'
2440,"['&', 'GEOG 340', 'ATOC 341', 'BIOL 343']"
1385,'DENT 310J1'
3791,'NRSC 621'
1959,'EDKP 693D1'
1264,"['|', 'COMP 251', 'COMP 302']"
4394,'PSYC 305'
4216,'PHYS 251'
398,"['|', ['&', 'BIOL 215', 'BIOL 205'], ['&', ['&', 'ENVR 200', 'ENVR 202'], 'BIOL 205']]"
1998,'PSYC 213'
3312,"['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]"
1285,'COMS 210'
1564,"['&', 'ECON 230D1', 'ECON 230D2', ['|', 'ECON 227D1', 'ECON 227D2']]"
2630,'HIST 218'
219,"['&', 'ARCH 604', 'ARCH 623']"
256,'ATOC 214'
1370,'DENT 213D1'
22,"['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]"
2037,'EDPE 725D1'
34,"['|', ['&', 'ACCT 683', 'ACCT 685'], ['&', 'ACCT 683', 'ACCT 687'], ['&', 'ACCT 683', 'ACCT 689'], ['&', 'ACCT 685', 'ACCT 687'], ['&', 'ACCT 685', 'ACCT 689'], ['&', 'ACCT 687', 'ACCT 689']]"
2597,'HISP 697D1'
4198,"['|', 'CEGEP physics', 'PHYS 142']"
45,'AEMA 310'
2361,'MGCR 341'
2245,"['&', 'EPSC 203', 'EPSC 210', 'EPSC 212']"
4604,'SOCI 211'
2994,'ITAL 691N1'
3105,"['&', 'MATH 208', ['|', 'MATH 223', 'MATH 236', 'MATH 247', 'MATH 251'], ['|', 'MATH 323', 'MATH 356']]"
1473,'DENT 786D1'
907,'CHEE 220'
3258,'MECH 430'
2034,'EDPE 723D1'
2577,"['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
107,"['|', ['&', 'AEMA 310', 'LSCI 204']]"
670,'CCFC 515'
29,"['&', 'ACCT 653', 'ACCT 654', 'ACCT 663', 'ACCT 664']"
4059,"['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]"
2827,"['&', 'INFS 603', 'INFS 604', 'INFS 611']"
3299,'MGCR 628J2'
7,'MGCR 211'
105,"['|', 'LSCI 202', 'LSCI 204', 'ANSC 234']"
978,'CHEM 302'
3802,'NSCI 400N1'
4152,"['&', 'PHTH 301D1', 'PHTH 245', 'ANAT 315', 'PHGY 209', 'ANAT 316', 'PHGY 210', 'POTH 225', 'POTH 250']"
3156,'MATH 456'
3662,'MUMT 306'
1289,"['&', ['|', 'COMS 200', 'COMS 210', 'COMS 230'], ['|', 'COMS 300', 'COMS 310', 'COMS 320', 'COMS 330', 'COMS 340', 'COMS 350', 'COMS 354', 'COMS 361', 'COMS 362', 'COMS 365']]"
154,"['&', 'ANTH 357', 'ANTH 359']"
541,"['&', 'MGCR 629', 'MGCR 650', 'MGCR 651', 'MGCR 652', 'MGCR 653']"
106,"['&', 'LSCI 211', 'ANSC 323']"
28,"['&', 'ACCT 653', 'ACCT 654', 'ACCT 663', 'ACCT 664']"
92,"['&', 'ANAT 214', 'ANAT 314']"
794,'CEGL 171'
995,"['|', 'CHEM 396', 'CHEM 470']"
1363,'DENT 101J1'
4724,'WRIT 334D1'
3088,'MATH 133'
2105,'EDPS 600'
525,'BUS2 463'
3273,'MATH 271'
90,"['&', ['|', 'BIOC 212', 'ANAT 212', 'BIOL 201'], 'ANAT 262', ['|', 'PHGY 209', 'BIOL 205'], ['|', 'BIOC 312', 'ANAT 365']]"
3231,"['&', ['|', 'MECH 240', 'BREE 301'], ['|', 'MECH 331', 'BREE 305'], ['|', 'MATH 271', 'BREE 319']]"
1305,'CORG 556D1'
